"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 01월 03일","28,602.0","28,844.0","28,893.0","28,431.0","245.78K","-0.83%"
"2020년 01월 02일","28,841.0","28,553.0","28,871.0","28,538.0","183.58K","0.96%"
"2020년 01월 01일","28,568.0","28,548.0","28,590.0","28,539.0","-","0.21%"
"2019년 12월 31일","28,508.0","28,427.0","28,553.0","28,341.0","127.53K","0.24%"
"2019년 12월 30일","28,440.0","28,618.0","28,660.0","28,403.0","165.29K","-0.59%"
"2019년 12월 27일","28,610.0","28,603.0","28,721.0","28,596.0","121.52K","-0.03%"
"2019년 12월 26일","28,619.0","28,518.0","28,624.0","28,510.0","59.12K","0.36%"
"2019년 12월 25일","28,516.5","28,508.0","28,528.0","28,507.5","-","0.03%"
"2019년 12월 24일","28,508.0","28,560.0","28,588.0","28,499.0","44.13K","-0.15%"
"2019년 12월 23일","28,550.0","28,491.0","28,583.0","28,475.0","93.61K","-0.19%"
"2019년 12월 20일","28,605.6","28,390.0","28,531.0","28,373.0","2.68K","0.77%"
"2019년 12월 19일","28,386.0","28,275.0","28,416.0","28,242.0","34.96K","0.42%"
"2019년 12월 18일","28,266.0","28,257.0","28,327.0","28,238.0","38.63K","-0.04%"
"2019년 12월 17일","28,276.0","28,235.0","28,335.0","28,173.0","70.69K","0.08%"
"2019년 12월 16일","28,253.0","28,192.0","28,345.0","28,159.0","78.48K","0.30%"
"2019년 12월 13일","28,168.0","28,181.0","28,303.0","28,036.0","168.86K","0.13%"
"2019년 12월 12일","28,131.0","27,933.0","28,230.0","27,856.0","239.17K","0.74%"
"2019년 12월 11일","27,924.0","27,924.0","27,981.0","27,804.0","140.78K","0.01%"
"2019년 12월 10일","27,921.0","27,901.0","27,959.0","27,726.0","164.91K","0.07%"
"2019년 12월 09일","27,902.0","28,020.0","28,047.0","27,878.0","109.24K","-0.40%"
"2019년 12월 06일","28,014.0","27,688.0","28,039.0","27,675.0","150.64K","1.21%"
