"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 02월 20일","9,624.25","9,744.75","9,763.00","9,517.00","802.42K","-1.12%"
"2020년 02월 19일","9,733.50","9,643.25","9,748.75","9,641.25","419.13K","1.01%"
"2020년 02월 18일","9,636.00","9,635.00","9,687.50","9,534.25","668.51K","0.34%"
"2020년 02월 17일","9,603.00","9,663.00","9,687.00","9,580.12","-","-0.63%"
"2020년 02월 16일","9,663.62","9,630.25","9,668.50","9,630.25","-","0.33%"
"2020년 02월 14일","9,632.25","9,626.25","9,659.25","9,588.00","489.39K","0.20%"
"2020년 02월 13일","9,613.00","9,621.50","9,644.75","9,511.25","613.58K","-0.13%"
"2020년 02월 12일","9,625.75","9,536.25","9,628.25","9,523.75","454.47K","1.03%"
"2020년 02월 11일","9,527.25","9,525.00","9,609.50","9,501.25","589.57K","-0.00%"
"2020년 02월 10일","9,527.50","9,401.50","9,531.50","9,330.75","500.15K","1.25%"
"2020년 02월 07일","9,409.50","9,467.00","9,471.00","9,385.00","592.70K","-0.49%"
"2020년 02월 06일","9,455.50","9,390.00","9,464.00","9,362.50","545.05K","0.79%"
"2020년 02월 05일","9,381.50","9,357.00","9,462.75","9,317.75","729.55K","0.28%"
"2020년 02월 04일","9,355.00","9,099.00","9,369.25","9,073.00","563.91K","2.64%"
"2020년 02월 03일","9,114.25","8,982.75","9,155.75","8,975.00","680.73K","1.29%"
"2020년 01월 31일","8,997.75","9,226.50","9,248.75","8,966.00","898.38K","-2.37%"
"2020년 01월 30일","9,216.25","9,111.25","9,240.00","9,003.50","846.59K","1.29%"
"2020년 01월 29일","9,098.50","9,119.50","9,158.75","9,072.25","578.41K","-0.07%"
"2020년 01월 28일","9,105.25","8,952.50","9,136.25","8,952.50","632.55K","1.68%"
"2020년 01월 27일","8,954.50","9,077.00","9,077.00","8,925.50","792.71K","-2.08%"
"2020년 01월 24일","9,144.50","9,252.00","9,287.25","9,109.50","758.80K","-1.12%"
"2020년 01월 23일","9,248.25","9,190.00","9,253.50","9,151.75","616.95K","0.57%"
"2020년 01월 22일","9,195.75","9,179.50","9,254.00","9,174.25","519.02K","0.28%"
"2020년 01월 21일","9,169.75","9,174.00","9,199.75","9,114.75","532.16K","-0.00%"
"2020년 01월 20일","9,169.88","9,184.88","9,187.00","9,160.62","-","-0.05%"
"2020년 01월 17일","9,174.50","9,137.00","9,189.25","9,130.00","438.67K","0.45%"
"2020년 01월 16일","9,133.50","9,061.75","9,140.25","9,061.50","397.88K","0.81%"
"2020년 01월 15일","9,060.00","9,062.00","9,096.00","9,023.00","497.10K","-0.03%"
"2020년 01월 14일","9,062.50","9,087.75","9,114.75","9,035.00","553.34K","-0.28%"
"2020년 01월 13일","9,088.25","8,979.00","9,095.50","8,979.00","380.44K","1.23%"
"2020년 01월 10일","8,978.25","9,010.00","9,055.50","8,966.25","472.17K","-0.34%"
"2020년 01월 09일","9,009.00","8,948.75","9,022.25","8,932.50","457.26K","0.72%"
"2020년 01월 08일","8,944.50","8,841.50","8,972.25","8,678.00","723.09K","1.03%"
"2020년 01월 07일","8,853.00","8,853.25","8,894.75","8,825.75","510.00K","0.06%"
"2020년 01월 06일","8,847.50","8,772.25","8,873.00","8,723.00","469.51K","0.43%"
"2020년 01월 03일","8,810.00","8,895.50","8,907.25","8,735.25","599.89K","-0.92%"
"2020년 01월 02일","8,891.75","8,776.75","8,901.50","8,769.50","416.64K","1.31%"
"2020년 01월 01일","8,776.38","8,772.00","8,783.62","8,769.75","-","0.28%"
"2019년 12월 31일","8,752.25","8,731.75","8,772.25","8,692.25","284.52K","0.21%"
"2019년 12월 30일","8,733.75","8,783.50","8,809.75","8,691.25","404.05K","-0.56%"
"2019년 12월 27일","8,783.25","8,801.00","8,843.50","8,769.00","322.89K","-0.24%"
"2019년 12월 26일","8,804.25","8,730.25","8,805.00","8,729.00","170.68K","0.85%"
"2019년 12월 25일","8,730.38","8,729.75","8,732.62","8,729.12","-","0.01%"
"2019년 12월 24일","8,729.50","8,728.25","8,736.00","8,707.00","106.03K","0.03%"
"2019년 12월 23일","8,726.50","8,710.75","8,743.25","8,707.50","194.92K","0.22%"
"2019년 12월 20일","8,707.46","8,651.00","8,700.00","8,638.25","5.70K","0.75%"
"2019년 12월 19일","8,642.50","8,598.00","8,655.50","8,580.25","65.78K","0.61%"
"2019년 12월 18일","8,590.25","8,569.75","8,612.00","8,567.75","98.30K","0.16%"
"2019년 12월 17일","8,576.25","8,576.00","8,596.75","8,563.25","145.05K","0.00%"
"2019년 12월 16일","8,576.00","8,507.00","8,587.75","8,503.25","192.05K","0.97%"
"2019년 12월 13일","8,494.00","8,485.00","8,523.75","8,435.50","335.04K","0.34%"
"2019년 12월 12일","8,465.25","8,407.50","8,497.00","8,381.00","554.34K","0.71%"
"2019년 12월 11일","8,405.50","8,366.25","8,411.00","8,345.00","304.18K","0.50%"
"2019년 12월 10일","8,363.75","8,354.50","8,398.00","8,297.00","403.36K","0.09%"
"2019년 12월 09일","8,356.00","8,401.50","8,427.25","8,347.00","292.42K","-0.53%"
"2019년 12월 06일","8,400.25","8,311.00","8,409.50","8,307.75","302.78K","1.10%"
"2019년 12월 05일","8,309.25","8,296.25","8,340.00","8,273.25","370.99K","0.17%"
"2019년 12월 04일","8,295.25","8,258.75","8,319.25","8,220.50","413.65K","0.53%"
